Time Servo TiKV Ethereum Redox Tock Libs
07/2012 2 0 0 0 0 0
07/2013 2 0 0 0 0 0
07/2014 1 0 0 0 0 0
07/2015 3 0 0 0 0 1
07/2016 7 1 0 4 0 4
07/2017 0 1 0 0 0 3
07/2018 0 0 2 0 1 7
04/2015 1 0 0 0 0 1
04/2014 2 0 0 0 0 0
04/2017 3 1 1 0 0 2
04/2016 3 2 0 0 0 1
04/2018 1 0 3 0 0 5
01/2016 0 0 4 0 0 5
01/2017 3 0 0 0 0 0
01/2014 3 0 0 0 0 0
01/2018 0 1 0 0 1 1
01/2019 0 0 0 0 0 1
10/2014 2 0 0 0 0 0
10/2015 1 0 0 1 0 0
10/2016 2 0 1 0 0 0
10/2017 1 2 0 0 0 1
10/2013 2 0 0 0 0 0
10/2018 0 0 1 0 0 5
